,Unnamed: 0,movie_name,movie_rank,movie_year,movie_dir,critic_name,critic_org,critic_cn
138,138, The Story of Marie and Julien ,9,2003,Jacques Rivette,Miriam Bale,Freelance film critic,US
139,139, Bamboozled ,10,2000,Spike Lee,Miriam Bale,Freelance film critic,US
140,140, Boyhood ,1,2014,Richard Linklater,Nicholas Barber,BBC Culture,UK
141,141, Under the Skin ,2,2013,Jonathan Glazer,Nicholas Barber,BBC Culture,UK
142,142, Anomalisa ,3,2015,Duke Johnson and Charlie Kaufman,Nicholas Barber,BBC Culture,UK
143,143, 12 Years a Slave ,4,2013,Steve McQueen,Nicholas Barber,BBC Culture,UK
144,144, Madagascar 3: Europe's Most Wanted ,5,2012,"Eric Darnell, Tom McGrath and Conrad Vernon",Nicholas Barber,BBC Culture,UK
145,145, Another Year ,6,2010,Mike Leigh,Nicholas Barber,BBC Culture,UK
146,146, The Diving Bell and the Butterfly ,7,2007,Julian Schnabel,Nicholas Barber,BBC Culture,UK
147,147, Children of Men ,8,2006,Alfonso Cuarón,Nicholas Barber,BBC Culture,UK
148,148, The Social Network ,9,2010,David Fincher,Nicholas Barber,BBC Culture,UK
149,149, A Separation ,10,2011,Asghar Farhadi,Nicholas Barber,BBC Culture,UK
150,150, WALL-E ,1,2008,Andrew Stanton,Diego Batlle,La Nacion,Argentina
151,151, In the Mood for Love ,2,2000,Wong Kar-wai,Diego Batlle,La Nacion,Argentina
152,152, Spirited Away ,3,2001,Hayao Miyazaki,Diego Batlle,La Nacion,Argentina
153,153, Boyhood ,4,2014,Richard Linklater,Diego Batlle,La Nacion,Argentina
154,154, The Son's Room ,5,2001,Nanni Moretti,Diego Batlle,La Nacion,Argentina
155,155, Extraordinary Stories ,6,2008,Mariano Llinás,Diego Batlle,La Nacion,Argentina
156,156, Mulholland Drive ,7,2001,David Lynch,Diego Batlle,La Nacion,Argentina
157,157, The Social Network ,8,2010,David Fincher,Diego Batlle,La Nacion,Argentina
158,158, Elephant ,9,2003,Gus Van Sant,Diego Batlle,La Nacion,Argentina
159,159, Uncle Boonmee Who Can Recall His Past Lives ,10,2010,Apichatpong Weerasethakul,Diego Batlle,La Nacion,Argentina
